tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,row_hash
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3025,Estructuras y materiales de minería subterránea,d0a0559edd457886a5e2fcbe22124b683dfed33f18c434be97eee2b1dad89c95
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3011,"Hormigón, cemento y yeso",86aa3401f4df5b0248441ac8fe44749117e93ecd0db2e42b0e1dc40cc6a4ef61
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3018,Instalaciones de plomería,e351f19f3071e8731ff73a009ffed56f5a7eaffc8047817f1d7dcd8b275a0807
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3016,Materiales de acabado de interiores,2030a4a122cd8acb45c3cfdb56dd97bfa529f3d011d55916234b195fb106bd0b
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3026,Materiales estructurales,8e36fdcd94df497ae4f666664f174240c735748c68423cfc21128c7263e4b49f
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3015,Materiales para acabado de exteriores,c0192b2d07eb179d2c69f34d3ec7d83272f8d988c7e37303d359dd36a1d5d39d
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3013,Productos de construcción estructurales,2d8856cc8078abc09256901cf1fe52dcb82fb2461535ea3f014a02e535dfd748
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3017,Puertas y ventanas y vidrio,e1e2e0a2bf6dc04940828dd489c754b044725f279b7fddc002ddcd2cc6341053
Producto,39,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación",3913,Dispositivos y accesorios y suministros de manejo de cable eléctrico,28fe62b782d720521b603c2bb82586335f4cd85487b7f720fceed85f2bc0995f
Producto,39,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación",3912,"Equipos, suministros y componentes eléctricos",80e02f6db6e09a4b9339e5a3306741ccb1103e71a39d82591ebf5c0b067c48b0
Producto,39,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación",3911,"Iluminación, artefactos y accesorios",6f7a3cd2f3d82bf420dce97f1b6dd7fa6460fff04e85be69a1d88c0149756f51
Producto,39,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación",3910,Lámparas y bombillas y componentes para lámparas,cb728f37f912ab3caa4e6f863ab29857df18879b865b4e29015116b1bb147b6f
Producto,43,Difusión de Tecnologías de Información y Telecomunicaciones,4320,"Componentes para tecnología de la información, difusión o telecomunicaciones",a12cedb6111fa6e49aa4e6e4b2f4cb0fe816b6ca865d095982f6b282f0a1611e
Producto,43,Difusión de Tecnologías de Información y Telecomunicaciones,4319,Dispositivos de comunicaciones y accesorios,a6d4f0ba08d2f147f3bf84d9616e2aa242d5069735702421af3fb947bd2f3f72
Producto,43,Difusión de Tecnologías de Información y Telecomunicaciones,4321,Equipo informático y accesorios,bdfc082ff049239ab361a79f76745eb94a2fe07422f348e85bc701bcc12a52a7
Producto,43,Difusión de Tecnologías de Información y Telecomunicaciones,4322,Equipos o plataformas y accesorios de redes multimedia o de voz y datos,f5b21030ad7689444ff756530fcc2a7106d48717c8b2047f4e04439ea74eed7b
Producto,43,Difusión de Tecnologías de Información y Telecomunicaciones,4323,Software,8335e6857d8c1ed46812781a6c5ab6f31a183750282a29e85cbce757abb6d7e7
Producto,42,"Equipo Médico, Accesorios y Suministros",4221,Ayuda para personas con desafíos físicos para vivir independiente,23123782ceacc9766aa6cbb760e983e0ae3c2861878acca5c2f743ef15339dcf
